resultId,raceId,driverId,constructorId,circuitId,statusId,grid,positionOrder,points results,laps,rank,fastestLapSpeed,lat,lng,date,year,weather,weather_numeric,points constructor standing,position constructor standing,Wins constrcuntor standing,points constructor results,race finished
1,18,1,1,1,1,1,1,10,58,2,218.3,-37.8497,144.968,39523.00,2008,Dry,0,14,1,1,14,0
5,18,5,1,1,1,3,5,4,58,1,218.385,-37.8497,144.968,39523.00,2008,Dry,0,14,1,1,14,0
2,18,2,2,1,1,5,2,8,58,3,217.586,-37.8497,144.968,39523.00,2008,Dry,0,8,3,0,8,0
9,18,9,2,1,4,2,9,0,47,9,215.1,-37.8497,144.968,39523.00,2008,Dry,0,8,3,0,8,1
3,18,3,3,1,1,7,3,6,58,5,216.719,-37.8497,144.968,39523.00,2008,Dry,0,9,2,0,9,0
6,18,6,3,1,11,13,6,3,57,14,212.974,-37.8497,144.968,39523.00,2008,Dry,0,9,2,0,9,1
4,18,4,4,1,1,11,4,5,58,7,215.464,-37.8497,144.968,39523.00,2008,Dry,0,5,4,0,5,0
12,18,12,4,1,8,20,12,0,30,16,208.907,-37.8497,144.968,39523.00,2008,Dry,0,5,4,0,5,1
7,18,7,5,1,5,17,7,2,55,12,213.224,-37.8497,144.968,39523.00,2008,Dry,0,2,5,0,2,1
20,18,20,5,1,4,9,20,0,0,,,-37.8497,144.968,39523.00,2008,Dry,0,2,5,0,2,1
8,18,8,6,1,5,15,8,1,53,4,217.18,-37.8497,144.968,39523.00,2008,Dry,0,1,6,0,1,1
13,18,13,6,1,5,4,13,0,29,6,216.51,-37.8497,144.968,39523.00,2008,Dry,0,1,6,0,1,1
23,19,8,6,2,1,2,1,10,56,2,209.158,2.76083,101.738,39530.00,2008,Dry,0,11,3,1,10,0
41,19,13,6,2,20,1,19,0,30,5,208.048,2.76083,101.738,39530.00,2008,Dry,0,11,3,1,10,1
24,19,9,2,2,1,4,2,8,56,6,208.033,2.76083,101.738,39530.00,2008,Dry,0,19,2,0,11,0
28,19,2,2,2,1,5,6,3,56,1,209.244,2.76083,101.738,39530.00,2008,Dry,0,19,2,0,11,0
25,19,5,1,2,1,8,3,6,56,7,208.031,2.76083,101.738,39530.00,2008,Dry,0,24,1,1,10,0
27,19,1,1,2,1,9,5,4,56,3,209.033,2.76083,101.738,39530.00,2008,Dry,0,24,1,1,10,0
26,19,15,7,2,1,3,4,5,56,8,207.715,2.76083,101.738,39530.00,2008,Dry,0,5,6,0,5,0
43,19,10,7,2,4,10,21,0,1,,,2.76083,101.738,39530.00,2008,Dry,0,5,6,0,5,1
29,19,17,9,2,1,6,7,2,56,12,206.366,2.76083,101.738,39530.00,2008,Dry,0,2,7,0,2,0
31,19,14,9,2,1,12,9,0,56,9,207.417,2.76083,101.738,39530.00,2008,Dry,0,2,7,0,2,0
30,19,4,4,2,1,7,8,1,56,10,207.24,2.76083,101.738,39530.00,2008,Dry,0,6,5,0,1,0
33,19,12,4,2,1,13,11,0,56,15,205.812,2.76083,101.738,39530.00,2008,Dry,0,6,5,0,1,0
32,19,18,11,2,1,11,10,0,56,4,208.481,2.76083,101.738,39530.00,2008,Dry,0,0,9,0,0,0
35,19,22,11,2,11,14,13,0,55,11,206.372,2.76083,101.738,39530.00,2008,Dry,0,0,9,0,0,1
34,19,21,10,2,11,17,12,0,55,16,205.8,2.76083,101.738,39530.00,2008,Dry,0,0,10,0,0,1
42,19,16,10,2,9,20,20,0,5,20,198.891,2.76083,101.738,39530.00,2008,Dry,0,0,10,0,0,1
36,19,3,3,2,11,16,14,0,55,13,206.182,2.76083,101.738,39530.00,2008,Dry,0,9,4,0,0,1
39,19,6,3,2,12,22,17,0,54,17,204.222,2.76083,101.738,39530.00,2008,Dry,0,9,4,0,0,1
37,19,19,8,2,11,21,15,0,55,18,203.265,2.76083,101.738,39530.00,2008,Dry,0,0,11,0,0,1
38,19,11,8,2,12,19,16,0,54,19,202.578,2.76083,101.738,39530.00,2008,Dry,0,0,11,0,0,1
40,19,20,5,2,5,15,18,0,39,14,205.995,2.76083,101.738,39530.00,2008,Dry,0,2,8,0,0,1
44,19,7,5,2,20,18,22,0,0,,,2.76083,101.738,39530.00,2008,Dry,0,2,8,0,0,1
45,20,13,6,3,1,2,1,10,57,3,208.153,26.0325,50.5106,39544.00,2008,Dry,0,29,2,2,18,0
46,20,8,6,3,1,4,2,8,57,4,207.911,26.0325,50.5106,39544.00,2008,Dry,0,29,2,2,18,0
47,20,9,2,3,1,1,3,6,57,5,207.765,26.0325,50.5106,39544.00,2008,Dry,0,30,1,0,11,0
48,20,2,2,3,1,6,4,5,57,2,208.231,26.0325,50.5106,39544.00,2008,Dry,0,30,1,0,11,0
49,20,5,1,3,1,5,5,4,57,1,209.062,26.0325,50.5106,39544.00,2008,Dry,0,28,3,1,4,0
57,20,1,1,3,11,3,13,0,56,19,203.969,26.0325,50.5106,39544.00,2008,Dry,0,28,3,1,4,1
50,20,15,7,3,1,7,6,3,57,7,206.819,26.0325,50.5106,39544.00,2008,Dry,0,8,5,0,3,0
53,20,10,7,3,1,13,9,0,57,9,205.503,26.0325,50.5106,39544.00,2008,Dry,0,8,5,0,3,0
51,20,17,9,3,1,11,7,2,57,8,206.597,26.0325,50.5106,39544.00,2008,Dry,0,4,7,0,2,0
62,20,14,9,3,11,17,18,0,56,16,204.331,26.0325,50.5106,39544.00,2008,Dry,0,4,7,0,2,1
52,20,3,3,3,1,8,8,1,57,6,207.109,26.0325,50.5106,39544.00,2008,Dry,0,10,4,0,1,0
58,20,6,3,3,11,16,14,0,56,17,204.155,26.0325,50.5106,39544.00,2008,Dry,0,10,4,0,1,1
54,20,4,4,3,1,10,10,0,57,13,204.668,26.0325,50.5106,39544.00,2008,Dry,0,6,6,0,0,0
64,20,12,4,3,6,14,20,0,40,12,204.808,26.0325,50.5106,39544.00,2008,Dry,0,6,6,0,0,1
55,20,22,11,3,1,12,11,0,57,10,205.399,26.0325,50.5106,39544.00,2008,Dry,0,0,9,0,0,0
65,20,18,11,3,4,9,21,0,19,21,202.686,26.0325,50.5106,39544.00,2008,Dry,0,0,9,0,0,1
